"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"58381","서울특별시 구로구 개봉동","270-80","0270","0080","거성","47.5200","202410","26","28,500","3","4","개인","개인","1988","개봉로15길 91","-","중개거래","경기 광명시, 서울 구로구","25.02.21"
"58382","서울특별시 영등포구 양평동5가","76","0076","0000","양평한신","59.9400","202410","26","83,000","108","6","개인","개인","1996","양평로24길 9","-","중개거래","서울 영등포구","25.01.23"
"58383","서울특별시 영등포구 양평동5가","9-1","0009","0001","동보","59.4000","202410","26","75,000","102","2","개인","개인","1998","양평로23길 18","-","중개거래","서울 영등포구","24.12.20"
"58384","서울특별시 강서구 방화동","814","0814","0000","방화5","33.1800","202410","26","38,000","502","11","개인","개인","1994","금낭화로 287-19","-","중개거래","서울 강서구","24.12.13"
"58385","서울특별시 강서구 방화동","877","0877","0000","청성(877-0)","67.8760","202410","26","58,500","-","11","개인","개인","2004","금낭화로 12","-","중개거래","서울 강서구","24.12.20"
"58386","서울특별시 금천구 독산동","993-25","0993","0025","리치힐101동(993-25)","105.0900","202410","26","51,500","-","3","개인","개인","2003","독산로88길 19","-","중개거래","서울 금천구","24.12.30"
"58387","서울특별시 구로구 고척동","328","0328","0000","양우","84.9600","202410","26","58,300","101","14","개인","개인","2000","고척로52길 9","-","중개거래","서울 구로구","25.01.24"
"58388","서울특별시 영등포구 영등포동","647","0647","0000","영등포푸르지오","79.7770","202410","26","109,000","106","9","개인","개인","2002","도신로29길 28","-","중개거래","서울 영등포구","25.01.24"
"58389","서울특별시 영등포구 대림동","1132","1132","0000","영등포자이르네","49.0800","202410","26","64,000","102동","13","개인","개인","2022","시흥대로 625","-","중개거래","서울 관악구","25.01.17"
"58390","서울특별시 구로구 신도림동","649","0649","0000","대림e-편한세상7","84.9280","202410","26","124,000","806","8","개인","개인","2004","신도림로 56-13","-","중개거래","서울 구로구","25.01.20"
"58391","서울특별시 구로구 신도림동","642","0642","0000","대림2","59.8800","202410","26","84,500","204","15","개인","개인","2001","신도림로 16","-","중개거래","서울 구로구, 서울 영등포구","24.12.20"
"58392","서울특별시 구로구 신도림동","642","0642","0000","대림1","59.9000","202410","26","96,200","407","12","개인","개인","1999","신도림로 16","-","중개거래","서울 구로구","25.02.25"
"58393","서울특별시 영등포구 양평동1가","147","0147","0000","어반힐","25.5800","202410","26","31,300","-","7","개인","개인","2019","선유로25길 5","-","중개거래","서울 영등포구","24.12.27"
"58394","서울특별시 구로구 고척동","334","0334","0000","벽산","84.8780","202410","26","91,000","209","12","개인","개인","2003","경인로 390","-","중개거래","서울 구로구","25.01.24"
"58395","서울특별시 금천구 독산동","711-2","0711","0002","금천현대","84.8300","202410","26","64,000","105","4","개인","개인","2002","벚꽃로 73","-","중개거래","서울 금천구","24.12.06"
"58396","서울특별시 송파구 잠실동","101-1","0101","0001","우성아파트","96.6500","202410","26","245,500","15","6","개인","개인","1981","올림픽로4길 42","-","중개거래","서울 송파구","24.11.27"
"58397","서울특별시 강동구 명일동","359","0359","0000","래미안솔베뉴","59.1100","202410","26","137,000","101","14","개인","개인","2019","양재대로 1650","-","중개거래","서울 강동구","25.01.03"
"58398","서울특별시 송파구 장지동","884","0884","0000","위례2차아이파크","115.6488","202410","26","172,000","204동","1","개인","개인","2016","위례광장로 230","-","중개거래","서울 송파구","25.02.17"
"58399","서울특별시 송파구 장지동","901","0901","0000","위례24단지(꿈에그린)","59.6300","202410","26","115,500","2419","1","개인","개인","2013","위례광장로 121","-","중개거래","서울 송파구","25.01.16"
"58400","서울특별시 송파구 방이동","185","0185","0000","인택파크랜드","126.7900","202410","26","140,000","-","15","개인","개인","2004","양재대로71길 2-27","-","중개거래","서울 송파구","25.02.03"
"58401","서울특별시 송파구 오금동","2","0002","0000","대림","84.9100","202410","26","154,000","2","11","개인","개인","1988","위례성대로 176","-","중개거래","서울 송파구","25.01.16"
"58402","서울특별시 송파구 오금동","11","0011","0000","현대백조","31.0000","202410","26","57,000","102","3","개인","개인","1997","양재대로72길 20","-","중개거래","서울 송파구","25.02.03"
"58403","서울특별시 강남구 압구정동","434","0434","0000","신현대12차","110.8200","202410","26","500,000","116","12","개인","개인","1982","압구정로 151","-","중개거래","서울 강남구","25.01.20"
"58404","서울특별시 강동구 명일동","332","0332","0000","명일지에스아파트","59.7900","202410","26","75,000","101","5","개인","개인","1999","상암로51길 61","-","중개거래","서울 강동구","24.12.30"
"58405","서울특별시 송파구 잠실동","22","0022","0000","리센츠","84.9900","202410","26","272,000","216","12","개인","개인","2008","올림픽로 135","-","중개거래","서울 송파구","24.12.31"
"58406","서울특별시 송파구 잠실동","27","0027","0000","주공아파트 5단지","82.6100","202410","26","319,500","519","4","개인","개인","1978","송파대로 567","-","중개거래","서울 송파구","24.12.31"
"58407","서울특별시 강동구 명일동","54","0054","0000","한양","119.3700","202410","26","167,000","2","9","개인","개인","1986","동남로71길 19","-","중개거래","경기 하남시, 서울 강동구","24.12.20"
"58408","서울특별시 강동구 명일동","257","0257","0000","고덕주공9","83.2100","202410","26","124,000","904","3","개인","개인","1985","상암로 251","-","중개거래","서울 강동구","24.12.27"
"58409","서울특별시 강남구 대치동","888","0888","0000","대치아이파크","84.9500","202410","26","320,000","109","20","개인","개인","2008","선릉로 222","-","중개거래","서울 강남구","24.12.27"
"58410","서울특별시 강남구 대치동","500","0500","0000","개포우성2","84.6900","202410","26","340,000","12","12","개인","개인","1984","선릉로 120","-","중개거래","서울 강남구","25.01.15"
"58411","서울특별시 송파구 잠실동","35","0035","0000","트리지움","84.8300","202410","26","246,000","-","27","개인","개인","2007","잠실로 62","20241224","중개거래","서울 송파구","-"
